iter	Logloss
0	0.6859966581
1	0.6819237804
2	0.6760997473
3	0.6708305957
4	0.668909514
5	0.6663365061
6	0.6633701373
7	0.6604458119
8	0.6570327902
9	0.6553103277
10	0.6495647213
11	0.6463324059
12	0.6449076906
13	0.6442394187
14	0.6401398451
15	0.637270146
16	0.6344346117
17	0.6328782724
18	0.6307172046
19	0.6282058028
20	0.6257839267
21	0.6231637697
22	0.620741912
23	0.6189998723
24	0.616686206
25	0.614290446
26	0.6119928495
27	0.6084849689
28	0.6063832926
29	0.6034038859
30	0.6015296534
31	0.6001658511
32	0.5991601318
33	0.595418484
34	0.5915527826
35	0.5904233485
36	0.588047689
37	0.5853288748
38	0.5833892993
39	0.5805252219
40	0.5778852232
41	0.5765428861
42	0.5740967729
43	0.5729984534
44	0.5719269237
45	0.5694449728
46	0.5662136536
47	0.5630836867
48	0.5615363027
49	0.5604668922
50	0.5588646294
51	0.5576032706
52	0.5564074546
53	0.5555662864
54	0.5538598307
55	0.5517656789
56	0.5500366081
57	0.5479370961
58	0.5450635574
59	0.5428708506
60	0.5412053518
61	0.540039017
62	0.5395441781
63	0.5388530972
64	0.5376725115
65	0.5365640771
66	0.53302521
67	0.532191281
68	0.528511231
69	0.5267821285
70	0.5251423017
71	0.5230516426
72	0.5215296819
73	0.5188313072
74	0.5163151415
75	0.5144930937
76	0.5134155692
77	0.5115143686
78	0.5108241303
79	0.5104053667
80	0.5099007011
81	0.5093114319
82	0.5071690184
83	0.5067062242
84	0.5062408359
85	0.5041785745
86	0.5021427019
87	0.5015739682
88	0.4999813125
89	0.498907636
90	0.4976515619
91	0.4968870376
92	0.4955393575
93	0.494518298
94	0.4939882157
95	0.4924099168
96	0.4910751497
97	0.489139658
98	0.4868978728
99	0.4858718671
